Empresas com Registro no SND (*)- Gerado em 20/10/2019 01:42:46

Código do Ativo	Empresa        	Série	Emissão	IPO	Situação	ISIN	Registro CVM da Emissão	Data de Registro CVM da Emissão	Registro CVM do Programa	Data de Registro CVM do Programa	Data de Emissão	 Data de Vencimento	Motivo de Saída 	Data de Saída / Novo Vencimento	 Data do Início da Rentabilidade	Data do Início da Distribuição	Data da Próxima Repactuação	Ato Societário (1)	Data do Ato (1)	Ato Societário (2)	Data do Ato (2)	Forma	Garantia/Espécie	Classe	Quantidade Emitida	Artigo 14º	Artigo 24º	Quantidade em Mercado	Quantidade em Tesouraria	Quantidade Resgatada	Quantidade  Cancelada	Quantidade Convertida no SND	Quantidade Convertida fora do SND	Quantidade Permutada no SND	Quantidade Permutada fora do SND	Unidade Monetária	Valor Nominal na Emissão	Unidade Monetária	Valor Nominal Atual	Data Últ. VNA	Índice	Tipo	Critério de Cálculo	Dia de Referência para Índice de Preços	Critério para Índice	Corrige a cada	Percentual Multiplicador/Rentabilidade	Limite da TJLP	Tipo de Tratamento do Limite da TJLP	Juros Critério Antigo do SND	Prêmios Critério Antigo do SND	Amortização - Taxa	Amortização - Cada	Amortização - Unidade	Amortização - Carência	Amortização - Critério	Tipo de Amortização	Juros Critério Novo - Taxa	Juros Critério Novo - Prazo	Juros Critério Novo - Cada	Juros Critério Novo - Unidade	Juros Critério Novo - Carência	Juros Critério Novo - Critério	Juros Critério Novo - Tipo	Prêmio Critério Novo - Taxa	Prêmio Critério Novo - Prazo	Prêmio Critério Novo - Cada	Prêmio Critério Novo - Unidade	Prêmio Critério Novo - Carência	Prêmio Critério Novo - Critério	Prêmio Critério Novo - Tipo	Participação - Taxa	Participação - Cada	Participação - Unidade	Participação - Carência	Participação - Descrição	Rating1	Agência Classificadora	Rating2	Agência Classificadora	Rating3	Agência Classificadora	Banco Mandatário	Agente Fiduciário	Instituição Depositária	Coordenador Líder	CNPJ	Deb. Incent. (Lei 12.431)	Escritura Padronizada	Resgate Antecipado
CARB11    	CARBOMIL S/A MINERACAO E INDUSTRIA	 001	 001	 -	Excluído	BRCRMLDBS017	SEP/GER/DEB - 93/013	27/07/1993			01/11/1992	01/11/1995	01/11/1995 - VENCIMENTO	01/11/1995	01/11/1992		 -	AGE	14/12/1992			Nominativa	Flutuante	Simples	24000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000000	R$	0		TR	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	12% a.a 360 dias 		0	0000		 - 	 -	 - 	0							0							0		 -									UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	OLIVEIRA TRUST DTVM S/A		LASTRO S/A DTVM	07253321000147	N	n	
CARB21    	CARBOMIL S/A MINERACAO E INDUSTRIA	 002	 001	 -	Excluído	BRCRMLDBS025	SEP/GER/DEB - 94/025	29/06/1994			01/11/1992	01/05/1998	01/05/1998 - VENCIMENTO	01/05/1998	01/05/1994		 -	AGE	14/11/1992	   		Nominativa	Subordinada	Simples	36800	0	0	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000000	R$	0		TR-REAL	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000		 - 	 -	 - 	0							0							0	0000	 -									UNIBANCO UNIAO DE BCOS BRASILEIROS S/A	OLIVEIRA TRUST DTVM S/A		LASTRO S/A DTVM	07253321000147	N	n	
CARM11    	CARAIBA METAIS S/A                                	 001	 001	Não	Excluído	BRCRBMDBM011	SEP/GER/DCA - 90/017	12/12/1990			01/11/1989	01/11/1999	01/11/1999 - VENCIMENTO	01/11/1999	01/10/1999		 -	AGE	23/10/1989			Escritural	Subordinada	Conversível	20000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	5043,4	R$	0		IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		0	0000		 - 	 -	 - 	0							0							0		 -									ITAU UNIBANCO S.A.	LUIZ FERNANDO LOPES FILHO		BANCO ARBI S/A	15224488000108	N	n	
CARM21    	CARAIBA METAIS S/A                                	 002	 001	 -	Excluído	BRCRBMDBS018	SEP/GER/DEB - 90/063	12/12/1990			01/11/1989	01/11/1999	01/11/1999 - VENCIMENTO	01/11/1999	01/10/1999		 -	AGE	23/10/1989			Escritural	Subordinada	Simples	20000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	5043,4	R$	0		IGP-M	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	10% a.a 360 dias 		0	0000		 - 	 -	 - 	0							0							0		 -									ITAU UNIBANCO S.A.	LUIZ FERNANDO LOPES FILHO		BANCO ARBI S/A	15224488000108	N	n	
CART11    	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	 UNI	 001	 -	Excluído	BRRPTADBS009	DISPENSA ICVM 476/09	21/01/2011			18/01/2011	18/01/2013	02/01/2013 - RESGATE TOTAL ANTECIPADO	02/01/2013	18/01/2011	24/01/2011	 -	AGE	23/12/2010	AGE	12/01/2011	Escritural	Quirografária	Simples	40			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	10000000	R$	0		DI	Integrante de Juros	Padrão - SND	00	DU		116.5	0	 - 	 -		0	0000	   	 - 	 -	 - 	0	000	0006	MES	18/07/2011	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	SLW CVC LTDA	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	10531501000158	N	n	
CART12    	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	 001	 002	 -	Registrado	BRRPTADBS017	CVM/SRE/DEB/2012/038	21/12/2012			15/12/2012	15/12/2024		15/12/2024	15/12/2012		 -	AGE	09/11/2012			Escritural	Quirografária	Simples	380000	0	0	000000380000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	1000	R$	1374,89236	18/10/2019	IPCA	Correção Monetária	Padrão - SND	15	-		 -	0	 - 	 -		 - 	0012	MES	15/12/2015	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	5,8	252	0012	MES	15/12/2013	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	10531501000158	S	n	S
CART22    	CONCESSIONARIA AUTO RAPOSO TAVARES S/A	 002	 002	 -	Registrado	BRRPTADBS025	CVM/SRE/DEB/2012/039	21/12/2012			15/12/2012	15/12/2024		15/12/2024	15/12/2012		 -	AGE	09/11/2012			Escritural	Quirografária	Simples	370000	0	0	000000370000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	1000	R$	1374,89236	18/10/2019	IPCA	Correção Monetária	Padrão - SND	15	-		 -	0	 - 	 -		 - 	0012	MES	15/12/2015	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	6,05	252	0012	MES	15/12/2013	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	PENTAGONO S/A DTVM	BANCO BRADESCO S/A	BANCO BRADESCO BBI S/A        	10531501000158	N	n	S
CARU11    	CARUANA S/A PARTICIPACOES E EMPREENDIMENTOS	 UNI	 001	 -	Registrado	BRCRUNDBS008	DISPENSA ICVM 476/09	28/01/2015			19/12/2014	19/07/2020		19/07/2020	19/12/2014	29/01/2015	 -	AGE	15/12/2014			Escritural	Real	Simples	100			000000000100	000000000000	000000000000			000000000000		000000000000	R$	100000	R$	100000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	1	252	0012	MES	30/06/2016	Útil	Exponencial		-				 - 	 -	0		 -										PLANNER CV S/A	OLIVEIRA TRUST DTVM  S/A	XP INVESTIMENTOS CCTVM S/A	07882656000124	N	n	S
CASN11    	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	 001	 001	 -	Excluído	BRCASNDBS008	DISPENSA ICVM 476/09	05/01/2016			09/12/2015	09/12/2020	16/05/2019 - RESGATE TOTAL ANTECIPADO	09/12/2020	06/01/2016	06/01/2016	 -	RCA	29/09/2015			Escritural	Real	Simples	8333			000000000000	000000000000	000000008333			000000000000		000000000000	R$	10000	R$	5135,14	15/05/2019	TJLP		Não Padrão - SND		DC		 -	0	 - 	11.95% a.a 360 dias 		2.7027	0001	MES	09/12/2017	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0							0							0		 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU CV S/A		82508433000117	N	n	S
CASN12    	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	 UNI	 002	 -	Registrado	BRCASNDBS040	Dispensa ICVM 476/09	14/05/2019			12/03/2019	12/03/2024		12/03/2024	15/05/2019	13/05/2019	 -	RCA	28/01/2019			Escritural	Quirografária	Simples	60000			000000060000	000000000000	000000000000			000000000000		000000000000	R$	10000	R$	10000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		 - 	0001	MES	12/09/2020	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes	5,75	252	0001	MES	12/06/2019	Útil	Exponencial		-				 - 	 -	0		 -										SIMPLIFIC PAVARINI DTVM LTDA	OLIVEIRA TRUST DTVM  S/A	BCO BTG PACTUAL S/A	82508433000117	N		S
CASN21    	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	 002	 001	 -	Excluído	BRCASNDBS016	DISPENSA ICVM 476/09	28/12/2015			09/12/2015	09/12/2020	16/05/2019 - RESGATE TOTAL ANTECIPADO	09/12/2020	29/12/2015	29/12/2015	 -	RCA	29/09/2015			Escritural	Real	Simples	16665			000000000000	000000000000	000000016665			000000000000		000000000000	R$	10000	R$	5135,14	15/05/2019	DI		Não Padrão - SND		-		100	0	 - 	3.5% a.a 252 dias 		2.7027	0001	MES	09/12/2017	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0							0							0		 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU CV S/A		82508433000117	N	n	S
CASN31    	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	 003	 001	 -	Excluído	BRCASNDBS024	DISPENSA ICVM 476/09	05/01/2016			09/12/2015	09/12/2020	16/05/2019 - RESGATE TOTAL ANTECIPADO	09/12/2020	06/01/2016	06/01/2016	 -	RCA	29/09/2015			Escritural	Real	Simples	1667			000000000000	000000000000	000000001667			000000000000		000000000000	R$	10000	R$	5135,14	15/05/2019	TJLP		Não Padrão - SND		DC		 -	0	 - 	11.95% a.a 360 dias 		2.7027	0001	MES	09/12/2017	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0							0							0		 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU CV S/A		82508433000117	N	n	S
CASN41    	COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN	 004	 001	 -	Excluído	BRCASNDBS032	DISPENSA ICVM 476/09	28/12/2015			09/12/2015	09/12/2020	16/05/2019 - RESGATE TOTAL ANTECIPADO	09/12/2020	29/12/2015	29/12/2015	 -	RCA	29/09/2015			Escritural	Real	Simples	3335			000000000000	000000000000	000000003335			000000000000		000000000000	R$	10000	R$	5135,14	15/05/2019	DI		Não Padrão - SND		-		100	0	 - 	3.5% a.a 252 dias 		2.7027	0001	MES	09/12/2017	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	0							0							0		 -									ITAU UNIBANCO S.A.	OLIVEIRA TRUST DTVM S/A	ITAU CV S/A		82508433000117	N	n	S
CAUJ12    	COMPANHIA AGRICOLA USINA JACAREZINHO	 UNI	 002	 -	Excluído	BRJCRZDBS013	DISPENSA ICVM 476/09	25/09/2012			31/08/2012	31/08/2019	26/12/2017 - RESGATE TOTAL ANTECIPADO	31/08/2019	31/08/2012		 -	AGE	17/07/2012	AGE	17/08/2012	Escritural	Real	Simples	8220			000000000000	000000000000	000000008220	000000000000		000000000000		000000000000	R$	10000	R$	2765,492312	22/12/2017	DI	Integrante de Juros	Padrão - SND		-		100	0	 - 	 -		 - 	0001	MES	30/10/2014	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	4	252	0001	MES	30/10/2014	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PLANNER TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA	ITAU CV S/A	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	61231478000117	N	n	S
CAVL11    	CHAPECO AVICOLA S/A	 001	 001	 -	Excluído		SEP/GER/DCA - 89/014	20/12/1989			01/11/1989	01/11/1994	01/11/1994 - VENCIMENTO	01/11/1994	01/11/1989		 -	AGE	01/11/1989			Escritural	Flutuante	Conversível	7000			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	5043,4	R$	0		TR	Correção Monetária	Não Padrão - SND	00	DC		0	0	 - 	12% a.a 360 dias 		0	0000		 - 	 -	 - 	0							0							0		 -									ITAU UNIBANCO S.A.	BANCO EUROPEU PARA AMERICA LATINA S/A		BANCO CREFISUL S/A	82949371000189	N	n	
CBAN11    	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	 001	 001	 -	Registrado	BRCRBDDBS009	CVM/SRE/DEB-2010/026	28/07/2010			15/06/2010	15/01/2024		15/01/2024	15/06/2010		 -	AGE	21/06/2010			Escritural	Subordinada	Simples	55000	0	0	000000055000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	10000	R$	13695,985759	18/10/2019	IPCA	Correção Monetária	Padrão - SND	15	-		 -	0	 - 	 -		 - 	0012	MES	15/01/2013	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	9,57	252	0012	MES	15/01/2012	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM S/A	BANCO BRADESCO S/A		10647979000148	N	n	S
CBAN21    	CONCESSIONARIA ROTA DAS BANDEIRAS S/A	 002	 001	 -	Registrado	BRCRBDDBS017	CVM/SRE/DEB-2010/027	28/07/2010			15/06/2010	15/07/2024		15/07/2024	15/06/2010		 -	AGE	21/06/2010			Escritural	Subordinada	Simples	55000	0	0	000000055000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	10000	R$	13443,911695	18/10/2019	IPCA	Correção Monetária	Padrão - SND	15	-		 -	0	 - 	 -		 - 	0012	MES	15/07/2012	 -	Percentual variável sobre o valor nominal de emissão em períodos uniformes	9,57	252	0012	MES	15/07/2011	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									BANCO BRADESCO S/A	OLIVEIRA TRUST DTVM S/A	BANCO BRADESCO S/A		10647979000148	N	n	S
CBBP11    	COMPANHIA BRASILEIRA DE BEBIDAS PREMIUM	 001	 001	 -	Excluído	BRCBBPDBS007	DISPENSA ICVM 476/09	09/02/2015			23/01/2015	23/01/2020	15/10/2018 - RESGATE TOTAL ANTECIPADO	23/01/2020	23/01/2015	09/02/2015	 -	AGE	22/01/2015			Escritural	Real	Simples	500			000000000000	000000000000	000000000500			000000000000		000000000000	R$	100000	R$	45434,862973	11/10/2018	DI		Padrão - SND		-		147	0	 - 	 -		 - 	 - 		 - 	 -	Percentual variável sobre o valor nominal atualizado em períodos não uniformes			0001	MES	23/10/2016	 - 	 - 		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ABC-BRASIL S/A	09325874000193	N	n	S
CBBP21    	COMPANHIA BRASILEIRA DE BEBIDAS PREMIUM	 002	 001	 -	Excluído	BRCBBPDBS015	DISPENSA ICVM 476/09	09/02/2015			23/01/2015	23/05/2018	24/05/2018 - VENCIMENTO	23/05/2018	23/01/2015	09/02/2015	 -	AGE	22/01/2015			Escritural	Real	Simples	250			000000000000	000000000000				000000000000		000000000000	R$	100000	R$	9090,74997	23/05/2018	DI		Padrão - SND		-		130	0	 - 	 -		 - 	0003	MES	23/01/2016	 -	Percentual variável sobre o valor nominal atualizado em períodos uniformes			0003	MES	23/07/2015	 - 	 - 		-				 - 	 -	0		 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A	BANCO ABC-BRASIL S/A	09325874000193	N	n	S
CBDQA2    	COMPANHIA BRASILEIRA DE DIQUES	 001	 002	 -	Excluído	BRCBDQDBS001	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2013	14/01/2013 - VENCIMENTO 	14/01/2013	10/08/2011	31/01/2012	 -	AGE	15/09/2011	   		Escritural	Real	Simples	120			000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	0		IGP-M	Correção Monetária	Não Padrão - SND	00	DU		0	0	 - 	12% a.a 252 dias 		16.6666	0001	MES	10/08/2012	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	
CBDQB2    	COMPANHIA BRASILEIRA DE DIQUES	 002	 002	 -	Excluído	BRCBDQDBS019	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2014	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2014	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	216			000000000145	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	64792,4305	12/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2013	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQC2    	COMPANHIA BRASILEIRA DE DIQUES	 003	 002	 -	Excluído	BRCBDQDBS027	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2015	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2015	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	216			000000000216	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	109985,407	09/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2014	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQD2    	COMPANHIA BRASILEIRA DE DIQUES	 004	 002	 -	Excluído	BRCBDQDBS035	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2016	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2016	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	216	0	0	000000000022	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	109985,407	12/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2015	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQE2    	COMPANHIA BRASILEIRA DE DIQUES	 005	 002	 -	Excluído	BRCBDQDBS043	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2017	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2017	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	240			000000000165	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	109985,407	12/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2016	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQF2    	COMPANHIA BRASILEIRA DE DIQUES	 006	 002	 -	Excluído	BRCBDQDBS050	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2018	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2018	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	240			000000000026	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	109985,407	12/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2017	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQG2    	COMPANHIA BRASILEIRA DE DIQUES	 007	 002	 -	Excluído	BRCBDQDBS068	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2019	18/03/2014 - Resgate Total Antecipado	10/01/2019	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	240			000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	100000	R$	100000	17/03/2014	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2018	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQH2    	COMPANHIA BRASILEIRA DE DIQUES	 008	 002	 -	Excluído	BRCBDQDBS076	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2020	18/03/2014 - Resgate Total Antecipado	10/01/2020	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	312			000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	100000	R$	100000	17/03/2014	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2019	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQI2    	COMPANHIA BRASILEIRA DE DIQUES	 009	 002	 -	Excluído	BRCBDQDBS084	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2021	18/03/2014 - Resgate Total Antecipado	10/01/2021	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	312			000000000000	000000000000	000000000000	000000000000		000000000000		000000000000	R$	100000	R$	100000	17/03/2014	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2020	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBDQJ2    	COMPANHIA BRASILEIRA DE DIQUES	 010	 002	 -	Excluído	BRCBDQDBS092	DISPENSA ICVM 476/09	30/01/2012			10/08/2011	10/01/2022	09/08/2013 - RESGATE TOTAL ANTECIPADO 	10/01/2022	10/08/2011		 -	AGE	15/09/2011			Escritural	Real	Simples	312			000000000010	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	100000	R$	109985,407	12/08/2013	IGP-M	Correção Monetária	Não Padrão - SND		-		 -	0	 - 	12% a.a 252 dias 		8.3333	0001	MES	10/02/2021	 -	Percentual fixo sobre o valor nominal atualizado em períodos uniformes	0							0							0	0000	 -									BANCO PINE S/A	C&D DTVM SA	BANCO BRADESCO S/A	PINE INVESTIMENTOS DTVM LTDA	02677174000119	N	n	S
CBEE11    	AMPLA ENERGIA E SERVICOS S/A	 UNI	 001	Não	Excluído	BRCBEEDBO012	CVM/SRE/DCA - 99/001	05/02/1999			01/11/1998	01/11/2003	29/07/2002 - CONVERSÃO	29/07/2002	01/11/1998	09/02/1999	 -	AGE	22/09/1998	   	10/11/1998	Nominativa	Subordinada	Conversível	36000	0	0	000000000000	000000000000	000000000000	000000000000	000000036000	000000000000	000000000000	000000000000	R$	10000	R$	0	29/07/2002	ANBID	Integrante de Juros	Não Padrão - SND	00	DC		0	0	 - 	0  000		0	0000	   	 - 	 -	 - 	0							0							0	0000	 -									BANCO SANTANDER (BRASIL) SA	OLIVEIRA TRUST DTVM S/A		BANCO SANTANDER (BRASIL) S/A	33050071000158	N	n	
CBHN11    	CONCESSIONARIA BAHIA NORTE S/A	 UNI	 001	 -	Excluído	BRCBHNDBS009	DISPENSA ICVM 476/09	30/05/2012			25/05/2012	20/05/2013	20/05/2013 - VENCIMENTO 	20/05/2013	25/05/2012		 -	AGE	22/05/2012			Escritural	Quirografária	Simples	35			000000000035	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	000000000000	R$	1000000	R$	1000000	20/05/2013	DI	Integrante de Juros	Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	 - 	2,15	252			20/05/2013	Útil	Exponencial	0	000	    	0 0		 - 	 -	0	0000	 -									ITAU UNIBANCO S.A.	PENTAGONO S/A DTVM	ITAU CV S/A                                       	ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA	12160715000190	N	n	S
CBLT11    	BETANIA LACTEOS S/A	 UNI	 001	 -	Registrado	BRCBLTDBS008	DISPENSA ICVM 476/09	30/10/2018			19/09/2018	19/09/2022		19/09/2022	31/10/2018	31/10/2018	 -	AGE	19/09/2018			Escritural	Real	Simples	60000			000000060000	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	1000	18/10/2019	DI		Padrão - SND		-		100	0	 - 	 -		2.7778	0001	MES	19/10/2019	 -	Percentual fixo sobre o valor nominal de emissão em períodos uniformes	1,85	252	0001	MES	19/11/2018	Útil	Exponencial		-				 - 	 -	0		 -										OLIVEIRA TRUST DTVM S/A	OLIVEIRA TRUST DTVM  S/A	BANCO ITAU-BBA S/A	10483444000189	N		S
CBMG11    	COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS CARTOES CONSIGNADOS BMG...	 001	 001	 -	Registrado	BRSCCCDBS007	DISPENSA ICVM 476/09	31/08/2017			15/06/2017	12/09/2022		12/09/2022	01/09/2017	01/09/2017	 -	AGE	12/05/2017			Escritural	Real	Simples	501681			000000501681	000000000000	000000000000			000000000000		000000000000	R$	1000	R$	729,166483	18/10/2019	DI		Padrão - SND		DU		100	0	 - 	 -		 - 	 - 		 - 	 -	Percentual variável sobre o valor nominal atualizado em períodos não uniformes	1,9	UTI		DIA	10/10/2017	 - 	Exponencial		-				 - 	 -	0		 -									BANCO BRADESCO S/A	VORTX DTVM LTDA.	BANCO BRADESCO S/A	XP INVESTIMENTOS CCTVM S/A	27137879000174	N		S
